City,Temperature_C,Population_Density,Green_Cover_%,Industrial_Activity_Level,Vehicular_Emissions_Index,Humidity_%,Land_Surface_Temperature_C,Nighttime_Temperature_C,UHI_Effect_Severity
Chennai,24.87,18844,24.6,Medium,197.01,74.78,31.08,20.99,Low
Pune,29.65,5014,25.67,Medium,178.51,85.91,35.79,26.34,Low
Mumbai,44.56,23799,39.02,Medium,257.56,79.28,50.81,41.4,High
Pune,28.6,7685,17.65,High,107.86,50.98,32.45,26.12,Low
Pune,35.95,21212,18.79,Medium,144.35,81.29,41.92,33.62,Medium
Mumbai,40.04,14428,12.06,Medium,248.02,46.1,44.24,37.46,High
Mumbai,28.73,13159,7.47,High,182.02,71.11,36.39,26.84,Low
Mumbai,35.92,29310,32.05,Low,150.53,84.14,39.98,32.21,Medium
Mumbai,39.69,9100,13.74,High,57.36,45.06,45.31,36.31,High
Chennai,35.06,11374,26.31,Medium,238.35,82.48,41.56,31.66,Medium
Bangalore,49.34,11004,29.07,Medium,293.05,79.93,56.78,47.04,High
Bangalore,26.66,10521,21.49,Low,205.07,65.19,31.28,25.44,Low
Mumbai,40.29,16412,35.67,Medium,264.14,55.44,44.46,37.24,High
Bangalore,34.14,16755,20.53,Medium,179.22,60.27,38.72,32.01,Medium
Bangalore,38.86,28539,14.97,High,107.92,88.43,42.8,35.25,High
Mumbai,37.21,24681,36.36,High,53.61,50.08,43.13,33.87,Medium
Bangalore,31.33,24017,35.15,High,213.35,68.98,38.93,29.9,Low
Pune,36.14,8890,10.74,Medium,173.28,44.16,38.9,33.34,Medium
Delhi,25.71,22175,5.91,High,245.52,50.89,31.08,22.63,Low
Delhi,38.02,14191,8.15,Medium,223.67,78.17,45.4,35.31,High
Mumbai,36.49,5151,15.03,High,296.99,55.13,39.09,33.95,Medium
Chennai,38.19,24447,39.03,Low,177.58,89.29,43.16,36.51,High
Mumbai,40.29,27751,24.55,Medium,156.79,65.04,47.48,38.58,High
Chennai,36.84,29288,18.06,High,121.68,65.83,44.24,33.53,Medium
Delhi,35.74,18861,36.11,High,169.22,41.82,40.83,34.68,Medium
Mumbai,30.59,23475,20.86,Medium,268.22,87.83,32.74,27.26,Low
Pune,31.44,20032,16.03,Medium,60.61,48.71,34.07,28.86,Low
Bangalore,40.93,9599,37.94,Low,294.48,66.92,46.45,37.13,High
Chennai,42.18,17274,34.73,Medium,298.33,59.78,44.92,38.19,High
Bangalore,33.81,17218,34.53,Medium,199.46,60.78,36.71,30.82,Medium
Bangalore,35.23,28792,22.93,Low,132.89,72.17,41.86,32.99,Medium
Mumbai,30.48,7977,32.63,Low,105.76,73.1,36.98,28.05,Low
Bangalore,40.86,22226,11.28,Low,119.12,47.71,47.92,39.25,High
Pune,38.33,8793,25.06,Medium,62.53,64.98,40.96,37.03,High
Bangalore,44.71,6659,39.43,Low,168.78,79.52,47.89,41.97,High
Mumbai,30.61,10162,15.18,Medium,64.33,62.16,37.61,27.19,Low
Pune,33.11,15705,32.8,Medium,229.62,48.29,39.44,31.32,Medium
Delhi,36.16,27830,22.17,Medium,142.98,55.66,42.99,33.9,Medium
Bangalore,38.23,21040,6.39,Medium,99.84,50.62,46.17,35.57,High
Mumbai,33.92,9270,31.71,Medium,186.21,46.29,41.11,30.2,Medium
Delhi,30.64,18286,10.9,Medium,293.44,58.88,35.76,29.22,Low
Delhi,39.41,8603,27.1,Medium,223.78,67.05,43.27,37.7,High
Chennai,38.61,18772,8.0,Medium,172.94,43.64,44.02,34.85,High
Pune,30.42,28148,38.14,High,244.23,70.19,36.25,29.3,Low
Bangalore,41.78,22600,15.21,Medium,234.37,89.65,45.79,38.81,High
Mumbai,40.85,7291,12.93,Low,272.93,88.21,47.48,37.93,High
Chennai,35.67,18123,9.52,Medium,101.17,81.46,38.23,33.52,Medium
Pune,35.4,8811,38.11,Medium,264.72,53.32,42.07,32.99,Medium
Chennai,37.77,18347,29.92,High,125.26,41.12,39.96,34.21,Medium
Pune,30.69,26377,30.96,Medium,285.25,81.68,35.68,29.2,Low
Pune,35.15,18851,22.48,Medium,120.27,42.79,42.32,33.46,Medium
Bangalore,24.24,20513,21.62,Low,281.71,50.28,26.76,21.7,Low
Pune,39.38,10142,8.85,Medium,290.95,67.22,44.49,37.15,High
Chennai,27.19,28246,24.59,Medium,86.37,48.92,30.15,24.47,Low
Pune,42.52,27917,13.64,High,293.62,81.69,49.89,38.75,High
Bangalore,33.35,17194,39.2,High,71.43,78.86,40.34,29.6,Medium
Bangalore,33.94,12526,32.88,Medium,104.64,77.79,41.55,32.25,Medium
Chennai,31.86,24362,19.45,High,161.04,80.81,39.11,29.95,Low
Delhi,33.56,26731,10.3,Medium,298.4,50.99,39.98,32.07,Medium
Delhi,42.09,18513,32.49,High,172.14,76.44,45.2,38.31,High
Pune,22.56,17084,9.27,High,187.6,57.76,26.38,20.37,Low
Mumbai,41.38,29317,11.63,Low,223.61,73.34,46.37,39.04,High
Pune,36.69,18349,12.4,Medium,292.07,46.1,42.22,33.28,Medium
Chennai,28.96,20068,24.49,Medium,245.84,75.28,35.66,26.43,Low
Chennai,29.62,9595,32.55,Low,106.04,88.61,32.99,28.26,Low
Chennai,43.38,20402,16.0,Low,125.75,42.18,46.15,41.07,High
Chennai,30.27,27595,7.96,High,74.41,44.69,35.17,27.38,Low
Chennai,29.23,14955,21.26,High,211.11,46.18,32.18,26.08,Low
Bangalore,40.69,23554,31.18,Medium,95.19,61.53,46.85,37.75,High
Delhi,36.69,18996,12.76,High,114.35,54.54,42.15,35.34,Medium
Chennai,30.31,29911,12.7,High,272.03,80.35,36.76,28.4,Low
Mumbai,36.08,24405,38.15,Low,131.69,63.69,38.46,32.88,Medium
Mumbai,29.87,29220,38.4,Low,191.66,64.23,37.66,26.23,Low
Mumbai,40.5,6185,39.67,Low,149.39,75.85,42.5,39.36,High
Mumbai,40.31,8285,33.27,Low,68.51,58.1,44.26,39.18,High
Bangalore,37.66,8447,11.59,Low,140.72,57.66,43.74,34.73,Medium
Mumbai,36.81,25375,12.42,Medium,152.02,77.85,39.08,34.16,Medium
Chennai,43.81,15662,16.91,High,273.93,79.0,46.31,42.34,High
Pune,35.0,9899,16.13,High,131.11,40.72,37.46,32.35,Medium
Mumbai,29.09,21060,38.48,Medium,144.81,47.19,34.58,25.17,Low
Bangalore,37.25,6935,32.62,High,245.72,50.65,44.62,34.35,Medium
Bangalore,45.43,14445,30.34,Medium,239.74,57.58,50.76,43.08,High
Mumbai,29.93,14274,11.51,High,249.57,54.57,35.55,26.44,Low
Pune,33.19,15335,36.83,Medium,288.44,73.43,37.27,31.55,Medium
Mumbai,37.08,22669,33.98,Low,248.89,81.41,39.19,34.84,Medium
Bangalore,34.73,13545,10.73,High,151.9,49.6,36.86,32.15,Medium
Delhi,30.09,12479,35.49,Medium,255.38,68.15,37.42,27.57,Low
Chennai,40.61,10255,14.53,Medium,177.17,58.39,43.22,36.85,High
Bangalore,46.6,23269,7.83,Medium,119.43,65.29,54.6,44.72,High
Mumbai,35.98,10062,27.99,Medium,125.73,71.04,38.97,34.81,Medium
Chennai,30.48,12066,27.88,High,105.96,84.68,36.53,26.73,Low
Mumbai,27.26,15712,8.32,Low,86.25,49.61,34.95,25.6,Low
Mumbai,36.29,20991,16.16,High,96.12,44.35,40.46,34.15,Medium
Delhi,40.52,8022,39.75,Low,65.79,71.36,46.93,37.93,High
Chennai,37.38,26649,28.74,Medium,272.11,59.71,41.48,33.45,Medium
Chennai,34.99,6547,30.55,Low,282.75,48.15,38.82,32.38,Medium
Delhi,32.05,17210,12.45,Medium,196.69,45.85,35.26,29.71,Low
Bangalore,29.54,9204,7.76,Low,260.12,67.95,36.46,26.79,Low
Mumbai,39.17,12590,14.69,Medium,95.89,55.02,42.72,35.26,High
Pune,39.57,6368,13.71,Low,275.42,89.87,43.27,36.12,High
Mumbai,27.27,16529,13.21,Low,176.59,60.3,35.27,25.76,Low
Mumbai,42.95,23141,11.75,Medium,66.79,50.61,46.91,39.54,High
Bangalore,37.87,20945,25.12,Low,85.33,71.44,42.41,34.35,Medium
Mumbai,42.0,14709,16.48,Low,127.24,52.21,49.94,38.93,High
Delhi,28.29,18644,33.71,Low,60.89,64.7,32.51,25.32,Low
Delhi,28.17,9917,11.44,Medium,127.32,64.13,32.37,25.85,Low
Chennai,34.26,24868,21.26,Medium,64.98,62.68,41.22,31.33,Medium
Pune,37.51,16877,5.48,Low,109.01,79.8,41.39,34.3,Medium
Mumbai,43.98,18224,21.86,Low,116.42,50.83,47.38,42.61,High
Mumbai,38.53,8052,6.95,Medium,298.59,85.22,43.07,36.76,High
Bangalore,33.79,13382,39.22,Medium,108.89,79.57,39.99,32.2,Medium
Delhi,29.87,22316,32.67,High,109.8,56.66,32.13,26.34,Low
Pune,41.15,25621,22.15,Medium,221.7,49.03,45.39,38.11,High
Chennai,30.18,12240,8.03,Medium,264.84,53.98,34.25,27.82,Low
Delhi,43.14,8238,25.74,Medium,146.76,56.63,46.61,39.66,High
Chennai,33.58,15407,31.56,Medium,268.9,67.85,39.5,30.43,Medium
Bangalore,42.95,5565,11.68,High,135.04,42.32,46.69,39.21,High
Bangalore,38.39,26762,24.89,Medium,99.25,85.72,44.04,37.16,High
Mumbai,34.32,10558,33.5,Medium,132.41,44.93,39.34,31.79,Medium
Pune,32.4,21375,31.89,Medium,202.34,53.96,35.71,29.28,Low
Chennai,33.3,22127,33.1,Medium,141.79,45.46,36.89,31.67,Medium
Delhi,37.14,16103,35.78,Medium,218.22,52.83,40.17,35.16,Medium
Bangalore,35.39,20174,37.82,Medium,109.23,81.88,37.73,33.13,Medium
Mumbai,32.03,13722,19.19,Low,225.25,70.76,37.75,28.65,Low
Mumbai,34.17,26793,24.91,Medium,136.86,51.37,40.21,31.69,Medium
Chennai,35.39,13753,32.67,High,163.97,83.59,38.39,32.91,Medium
Bangalore,24.36,10629,29.4,High,189.44,80.04,30.05,22.06,Low
Pune,37.29,11318,39.84,Medium,221.56,77.68,45.18,35.61,Medium
Bangalore,30.1,5301,5.48,Low,109.68,82.38,32.55,26.33,Low
Chennai,29.23,25151,17.43,Low,258.99,70.98,34.18,27.28,Low
Chennai,26.56,25664,14.84,Medium,230.46,65.07,32.96,23.86,Low
Bangalore,26.03,12506,14.18,High,108.52,58.7,28.31,24.58,Low
Chennai,28.22,13701,12.79,Medium,293.74,51.19,34.89,25.92,Low
Bangalore,31.45,11962,29.82,Low,216.2,67.87,39.33,27.74,Low
Delhi,44.77,10429,7.97,High,163.11,84.47,47.3,40.78,High
Bangalore,32.37,20866,30.96,High,89.38,69.7,39.3,30.29,Low
Bangalore,35.89,12248,29.27,Medium,183.31,85.98,40.16,34.43,Medium
Chennai,37.0,24829,13.78,Medium,91.19,57.85,39.87,35.06,Medium
Chennai,35.66,7203,13.85,Medium,157.37,74.76,40.61,33.67,Medium
Mumbai,34.61,24218,27.01,Medium,152.18,72.43,37.04,31.68,Medium
Mumbai,29.02,7479,31.68,High,229.98,73.52,34.16,26.54,Low
Delhi,42.25,26240,35.68,Low,98.1,72.25,44.37,38.95,High
Mumbai,44.04,15386,34.82,Medium,255.47,51.08,50.41,40.93,High
Bangalore,26.59,5434,38.77,Medium,131.53,47.18,31.51,24.83,Low
Chennai,29.88,15230,25.35,High,161.0,88.93,34.63,26.53,Low
Mumbai,33.6,6706,36.8,High,243.09,42.26,36.78,30.06,Medium
Mumbai,30.18,29644,33.3,High,206.35,63.39,34.34,27.38,Low
Delhi,37.53,10725,36.31,Medium,127.01,61.25,40.62,33.75,Medium
Delhi,31.36,23288,5.41,High,146.55,58.0,37.77,28.01,Low
Bangalore,45.83,28402,38.81,Medium,126.45,79.1,49.02,43.04,High
Chennai,40.95,8959,21.57,Medium,198.69,77.27,46.65,37.23,High
Delhi,36.06,19521,32.94,Low,133.16,85.26,39.74,33.26,Medium
Mumbai,40.13,16143,9.45,High,231.42,59.77,46.08,37.57,High
Chennai,40.53,11825,18.86,High,194.95,68.21,45.77,38.46,High
Chennai,32.18,11347,14.5,Low,86.43,84.62,36.72,28.53,Low
Mumbai,30.92,17841,15.21,Low,127.57,89.69,36.96,29.55,Low
Delhi,35.39,27540,9.31,High,105.36,88.46,39.89,32.97,Medium
Mumbai,39.31,7713,33.2,Medium,147.58,75.89,46.24,36.7,High
Chennai,35.7,16561,5.32,High,179.0,47.16,42.07,33.03,Medium
Pune,27.12,27578,15.94,Low,176.69,41.16,32.36,24.16,Low
Pune,30.99,17787,11.1,Low,238.63,81.26,38.25,28.47,Low
Bangalore,34.63,11512,25.62,Medium,97.29,82.05,41.6,32.86,Medium
Mumbai,34.62,28251,13.9,Low,286.62,77.32,39.81,31.05,Medium
Mumbai,44.86,25111,14.06,Low,135.71,54.0,47.27,41.89,High
Bangalore,28.07,15596,22.09,Low,125.06,71.99,33.47,24.5,Low
Bangalore,37.53,24930,27.84,Low,221.29,55.81,41.66,35.7,Medium
Bangalore,42.45,20182,9.25,Low,251.38,62.53,47.69,39.53,High
Chennai,46.36,23687,11.14,High,144.62,59.12,52.24,43.21,High
Mumbai,32.98,25065,13.65,Low,236.71,85.68,38.85,30.83,Low
Chennai,37.46,29236,39.08,Medium,270.93,51.71,43.5,34.02,Medium
Bangalore,37.85,8221,18.9,High,241.7,68.88,43.92,36.84,Medium
Mumbai,35.98,25758,25.96,Medium,58.55,58.05,38.63,33.19,Medium
Chennai,34.51,6082,13.45,Medium,256.84,73.15,37.66,31.67,Medium
Chennai,37.18,13637,22.17,Medium,243.62,68.23,42.96,34.58,Medium
Bangalore,22.34,18123,7.59,High,217.32,86.2,26.79,19.45,Low
Mumbai,38.41,18042,6.22,High,240.01,45.08,44.99,36.91,High
Bangalore,35.63,19133,21.41,Medium,294.86,51.03,38.38,32.58,Medium
Mumbai,33.89,22976,18.95,High,157.78,78.32,37.04,31.88,Medium
Pune,45.23,10608,9.79,Medium,66.81,58.44,50.59,42.88,High
Delhi,31.63,10526,29.07,Low,165.22,48.29,36.63,29.63,Low
Delhi,32.98,26563,39.75,High,61.61,65.17,36.58,30.56,Low
Delhi,44.96,11472,18.85,Medium,123.56,72.61,49.41,42.09,High
Bangalore,30.84,7775,26.86,High,196.72,42.24,33.05,27.32,Low
Pune,32.25,20828,38.7,Low,127.41,54.58,34.47,29.8,Low
Mumbai,34.26,17008,34.1,Medium,221.35,80.47,36.83,32.3,Medium
Chennai,39.2,22974,21.22,High,255.5,66.01,44.66,36.74,High
Mumbai,36.04,27388,30.81,Low,155.11,41.77,43.22,32.97,Medium
Chennai,28.54,20055,9.48,High,275.03,54.1,32.1,26.5,Low
Mumbai,32.34,28614,22.92,High,69.96,71.96,34.54,30.1,Low
Pune,31.96,23615,14.77,High,260.03,49.97,38.21,29.27,Low
Chennai,34.61,10118,10.64,Medium,257.14,81.37,41.75,32.73,Medium
Bangalore,37.13,27838,19.92,Medium,130.5,73.83,39.96,35.5,Medium
Mumbai,37.09,12960,9.59,High,124.68,63.57,41.41,35.67,Medium
Mumbai,26.12,22945,29.46,Medium,126.27,85.78,29.07,24.06,Low
Chennai,40.32,17464,20.97,Medium,252.85,59.59,42.96,39.17,High
Bangalore,36.26,25030,23.59,High,257.91,51.75,42.15,33.51,Medium
Bangalore,41.92,12596,10.12,Medium,132.43,73.07,49.73,40.39,High
Pune,37.22,12240,9.89,High,198.15,68.66,43.29,35.09,Medium
Bangalore,40.51,9942,25.42,Low,84.73,56.76,48.42,38.7,High
Bangalore,37.33,24622,39.48,Low,167.19,57.18,41.94,34.44,Medium
Bangalore,41.73,18536,8.37,Medium,299.7,59.91,49.12,38.18,High
Delhi,37.61,6600,15.0,Medium,89.71,54.56,40.84,34.71,Medium
Pune,34.51,10700,35.43,Medium,286.89,75.51,37.22,31.88,Medium
Mumbai,46.36,11071,7.53,Low,256.06,72.57,52.58,43.35,High
Chennai,39.45,15248,35.66,High,293.05,62.04,43.67,38.36,High
Mumbai,37.87,17523,23.35,Medium,94.89,59.89,41.77,36.5,Medium
Pune,28.62,22093,19.29,Medium,103.38,58.25,34.65,27.33,Low
Chennai,28.56,24355,15.84,Low,54.22,54.17,32.56,27.26,Low
Pune,36.46,22177,15.4,Medium,231.18,44.28,41.9,34.68,Medium
Bangalore,35.73,24483,15.7,Low,211.02,53.41,39.52,33.13,Medium
Chennai,31.93,16047,35.97,Low,94.52,56.06,38.63,30.59,Low
Bangalore,35.7,27414,30.33,Medium,247.79,67.38,39.58,31.9,Medium
Mumbai,42.94,10765,28.44,Low,124.8,78.69,48.15,39.38,High
Mumbai,38.48,5026,32.96,Low,83.75,59.79,40.62,34.56,High
Chennai,29.29,11693,14.0,Medium,155.64,87.24,36.05,28.17,Low
Chennai,34.44,26706,26.63,Low,72.74,81.37,40.16,30.89,Medium
Pune,30.98,29660,21.1,Medium,115.81,89.24,34.13,27.56,Low
Pune,33.06,27335,32.39,Low,142.83,83.81,36.35,29.36,Medium
Bangalore,32.93,24485,15.82,Medium,262.97,70.84,36.51,30.35,Low
Chennai,32.61,11609,27.51,Medium,248.14,69.92,38.07,29.25,Low
Mumbai,28.72,14314,35.88,Low,160.69,46.48,34.01,27.57,Low
Pune,34.36,21258,19.08,High,231.14,76.12,38.0,33.13,Medium
Pune,32.2,10309,7.33,High,192.16,70.01,38.36,30.84,Low
Mumbai,20.35,5011,23.06,Low,135.21,65.35,27.69,16.61,Low
Pune,45.26,29154,17.11,High,231.47,74.66,47.53,44.08,High
Bangalore,40.44,20389,28.53,Low,220.87,62.2,44.95,39.14,High
Chennai,33.12,26797,38.29,Low,204.77,66.19,38.68,29.33,Medium
Mumbai,35.09,18671,22.0,Low,204.49,59.92,40.61,33.77,Medium
Chennai,29.14,10774,21.32,Medium,220.75,75.87,31.26,25.53,Low
Pune,43.48,21563,27.91,Medium,146.14,83.83,46.74,40.11,High
Pune,44.49,5796,8.62,Medium,267.27,82.04,46.86,43.37,High
Mumbai,35.78,12279,13.87,High,90.58,79.3,41.2,34.72,Medium
Bangalore,40.12,12188,37.16,Medium,270.97,40.69,45.99,37.51,High
Delhi,35.88,28696,28.45,Medium,135.57,85.59,38.83,31.88,Medium
Mumbai,28.32,7024,5.47,Medium,81.26,53.74,32.31,24.68,Low
Delhi,32.94,12666,12.16,High,200.01,84.4,36.92,31.01,Low
Delhi,35.66,8217,28.9,Low,144.0,49.85,42.58,33.5,Medium
Bangalore,32.73,11584,31.75,Medium,253.87,61.98,35.9,30.56,Low
Delhi,33.91,10285,34.4,Medium,157.7,77.47,39.2,30.7,Medium
Delhi,34.54,12370,15.23,Medium,217.14,72.01,41.24,32.52,Medium
Bangalore,34.6,22903,37.59,Medium,127.06,60.8,41.57,33.15,Medium
Delhi,35.26,27995,24.35,Medium,102.36,73.93,41.26,32.02,Medium
Delhi,29.7,11856,29.38,Medium,147.01,67.45,33.49,27.32,Low
Delhi,31.41,7432,25.89,Medium,201.7,53.79,38.35,30.18,Low
Mumbai,28.58,27841,9.3,Medium,214.24,72.32,35.03,25.21,Low
Mumbai,39.89,9866,38.71,Low,194.55,50.21,46.12,37.13,High
Mumbai,24.47,18566,9.3,Medium,297.01,74.7,26.88,22.0,Low
Bangalore,40.77,10054,13.92,Medium,222.77,40.16,43.03,37.75,High
Pune,41.93,14108,33.48,Medium,282.88,67.44,48.1,39.42,High
Delhi,33.49,23454,26.65,High,79.48,60.05,41.16,30.54,Medium
Delhi,21.98,6781,34.34,Medium,65.34,55.16,28.63,18.38,Low
Bangalore,33.19,29914,23.05,Low,127.75,65.79,40.18,30.35,Medium
Delhi,34.68,22900,18.19,Medium,84.15,72.27,39.95,31.7,Medium
Mumbai,29.95,16062,37.26,High,181.47,88.27,33.77,27.11,Low
Pune,32.42,16774,6.27,Medium,179.75,81.65,38.49,29.83,Low
Chennai,42.65,26875,34.96,Medium,193.76,75.86,48.92,41.14,High
Delhi,38.32,27333,13.08,Low,236.31,63.95,44.38,36.32,High
Mumbai,30.38,20958,34.71,Medium,292.83,59.61,38.06,27.3,Low
Chennai,27.01,24674,9.87,Medium,269.56,41.63,31.22,24.74,Low
Pune,33.36,25954,25.31,High,79.59,57.95,35.6,31.15,Medium
Chennai,33.93,14638,36.08,Medium,134.63,82.42,41.38,30.65,Medium
Mumbai,37.48,6379,21.57,Medium,113.96,59.2,40.44,36.46,Medium
Chennai,32.32,14675,31.13,Medium,94.2,63.08,38.51,29.29,Low
Bangalore,37.56,29054,33.16,Medium,186.18,53.59,44.8,35.09,Medium
Chennai,44.68,15266,30.78,High,188.32,53.71,48.54,42.55,High
Delhi,39.08,22184,37.39,Medium,106.81,43.09,46.06,37.06,High
Delhi,34.76,20195,20.64,High,227.97,70.69,38.75,33.24,Medium
Bangalore,34.08,15929,11.06,Medium,233.23,62.4,40.85,32.08,Medium
Mumbai,33.22,10267,6.67,Low,55.24,70.3,35.64,31.04,Medium
Delhi,40.9,24879,13.63,Medium,148.94,67.34,46.83,38.59,High
Pune,31.86,8257,10.01,Low,272.54,79.94,37.93,28.85,Low
Delhi,35.23,27942,24.53,Low,180.08,77.55,40.17,32.87,Medium
Delhi,35.26,17069,11.47,Medium,136.91,78.57,41.38,31.87,Medium
Mumbai,32.49,5981,6.36,Medium,113.42,64.96,40.03,29.57,Low
Chennai,28.14,15668,6.26,Medium,110.84,57.69,34.54,26.57,Low
Delhi,36.61,23472,34.1,Low,74.94,86.67,44.38,34.78,Medium
Bangalore,34.69,24336,25.7,Medium,254.31,42.71,39.39,33.46,Medium
Chennai,37.5,16656,17.53,Medium,71.66,47.63,42.67,33.66,Medium
