State,Year,Population (millions),Annual Rainfall (mm),Agricultural Land (sq km),Industrial Water Usage (billion liters),Domestic Water Usage (billion liters),Groundwater Level (meters below surface),Reservoir Capacity (%),Total Water Consumption (billion liters),Water Shortage Risk
Nagaland,2020,184.34,937.8,194182.1,335.9,161.72,36.4,74.2,497.62,No
Himachal Pradesh,2009,153.23,1788.0,131678.3,46.59,105.36,38.7,98.3,151.95,No
Meghalaya,2000,111.86,3567.2,137837.0,34.0,163.26,31.1,67.5,197.26,No
Tripura,2013,43.3,916.5,26989.1,264.19,128.63,18.0,12.6,392.82,No
Telangana,2009,65.43,1317.7,148877.9,416.85,299.67,22.2,90.1,716.52,No
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Nagaland,2004,140.25,983.1,150743.3,251.87,201.92,41.0,28.2,453.79,Yes
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Manipur,2000,208.76,2073.5,68248.3,299.69,80.97,21.5,46.5,380.66,No
Odisha,2019,208.13,811.4,120726.8,405.72,113.18,43.9,7.9,518.9,Yes
Punjab,2012,211.36,2955.8,28444.9,336.94,199.32,47.6,23.5,536.26,No
Karnataka,2019,47.58,1581.6,6941.7,144.93,263.27,31.3,79.3,408.2,No
Kerala,2012,141.02,2699.7,175035.0,59.57,273.7,41.1,22.4,333.27,No
Jharkhand,2010,143.47,1693.7,47578.0,424.41,40.15,49.9,66.1,464.56,No
Gujarat,2001,175.03,2044.8,57974.0,434.74,284.84,24.5,41.0,719.58,No
Telangana,2022,121.76,1142.0,21331.9,413.65,290.11,37.5,41.7,703.76,No
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Jharkhand,2003,80.04,3408.9,22933.4,96.31,24.53,14.5,22.8,120.84,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
West Bengal,2007,85.78,1957.1,123917.1,330.85,292.16,14.4,70.2,623.01,No
Uttarakhand,2001,175.85,1995.9,37135.5,417.99,124.12,34.5,76.5,542.11,No
Jharkhand,2023,184.37,1328.3,114514.1,238.69,237.93,47.4,23.5,476.62,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
West Bengal,2015,218.48,2508.3,4568.1,489.56,261.54,36.9,5.6,751.1,No
Mizoram,2023,107.89,2763.6,108978.4,105.92,248.74,47.4,15.6,354.66,No
Madhya Pradesh,2003,18.84,1477.4,79832.3,263.94,45.44,33.1,40.4,309.38,No
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Chhattisgarh,2001,22.38,1688.0,48543.3,13.96,296.55,5.4,56.4,310.51,No
Himachal Pradesh,2011,79.84,3607.2,192915.9,494.72,13.8,5.6,76.2,508.52,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Nagaland,2025,13.42,3724.0,40142.9,247.16,262.44,38.1,11.7,509.6,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
West Bengal,2009,177.66,951.1,83430.0,115.84,188.31,39.2,11.2,304.15,Yes
Bihar,2014,160.05,805.1,23453.1,222.8,185.2,35.7,26.2,408.0,Yes
Tripura,2004,158.82,651.1,157021.6,195.62,58.31,16.0,23.5,253.93,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Arunachal Pradesh,2007,240.04,781.3,174395.4,109.76,32.76,42.0,46.9,142.52,No
Rajasthan,2010,49.09,2487.2,74707.8,91.13,138.06,38.9,8.9,229.19,No
Maharashtra,2025,12.15,2265.2,91710.3,89.69,149.09,25.8,87.6,238.78,No
Kerala,2006,177.76,3004.9,46848.3,365.73,86.82,6.1,24.9,452.55,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Maharashtra,2014,101.38,3735.6,41833.4,184.76,210.47,2.5,38.9,395.23,No
Arunachal Pradesh,2004,215.81,778.2,127483.4,471.7,39.83,46.6,9.8,511.53,Yes
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Bihar,2016,64.95,1495.2,132269.0,218.11,236.63,41.3,80.8,454.74,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Sikkim,2003,242.08,2752.1,103927.3,384.52,177.01,24.4,44.3,561.53,No
Meghalaya,2013,99.38,3331.1,153590.4,227.43,258.86,15.6,68.4,486.29,No
Meghalaya,2025,90.07,931.6,141774.5,328.6,198.53,5.6,21.4,527.13,No
Tamil Nadu,2017,108.77,2722.2,87205.2,152.04,40.98,44.9,37.6,193.02,No
Assam,2017,35.96,2429.0,157900.3,178.98,101.99,23.2,38.6,280.97,No
Goa,2000,168.36,3367.7,136889.9,497.33,179.52,46.4,30.1,676.85,No
Uttarakhand,2020,8.01,1656.3,115319.5,146.56,16.16,42.8,97.6,162.72,No
Bihar,2007,68.78,2738.4,78552.0,381.69,246.47,4.8,12.6,628.16,No
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Nagaland,2024,209.18,1052.2,46144.0,337.47,278.43,6.3,12.7,615.9,No
Goa,2003,115.31,802.0,36740.7,109.81,253.21,5.6,12.6,363.02,No
Tripura,2015,36.06,1475.0,185048.5,471.61,166.05,15.9,87.7,637.66,No
Bihar,2022,227.96,588.8,184642.8,222.44,124.3,21.4,71.8,346.74,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Uttar Pradesh,2023,11.19,628.0,40694.2,463.0,7.77,29.5,39.2,470.77,No
Kerala,2004,236.46,504.4,3126.9,408.08,156.05,32.5,63.8,564.13,No
Rajasthan,2020,109.09,3036.2,121357.7,314.04,209.85,24.2,67.7,523.89,No
Chhattisgarh,2022,145.23,3508.4,64068.2,124.05,249.66,41.2,58.0,373.71,No
Jharkhand,2018,156.41,1360.0,81646.3,443.67,83.99,31.2,51.8,527.66,No
Rajasthan,2023,156.14,3027.7,51371.5,375.92,171.7,17.6,66.2,547.62,No
Tamil Nadu,2021,174.98,502.7,151232.1,37.05,32.7,1.6,28.1,69.75,No
Meghalaya,2025,90.07,931.6,141774.5,328.6,198.53,5.6,21.4,527.13,No
West Bengal,2000,27.8,862.9,131867.3,357.41,14.15,20.0,21.5,371.56,No
Mizoram,2023,187.05,892.8,9833.7,400.98,135.41,16.1,31.1,536.39,No
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Goa,2015,118.4,3251.7,67601.5,197.01,18.37,8.6,61.8,215.38,No
Jharkhand,2010,97.86,2188.0,181786.0,213.26,207.22,29.2,94.3,420.48,No
Madhya Pradesh,2007,193.35,3675.3,16221.7,340.13,206.97,48.9,25.4,547.1,No
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Bihar,2008,9.46,2248.1,6620.2,426.31,255.48,40.6,86.8,681.79,No
Goa,2008,205.17,1203.7,151534.5,191.72,113.47,32.8,51.4,305.19,No
Meghalaya,2024,220.53,2071.7,13067.1,322.26,81.28,30.4,93.5,403.54,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Manipur,2012,174.06,3814.5,129306.1,360.02,176.67,20.5,32.4,536.69,No
West Bengal,2006,39.33,1709.0,64771.1,278.93,62.26,39.7,68.5,341.19,No
Odisha,2001,230.25,624.1,63524.7,94.17,248.96,36.6,27.5,343.13,Yes
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Himachal Pradesh,2004,101.22,1823.2,153581.2,497.04,15.67,3.5,25.4,512.71,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Arunachal Pradesh,2000,105.75,893.1,103385.7,497.16,268.41,47.6,18.9,765.57,Yes
Goa,2009,240.02,856.9,144142.5,408.24,68.88,40.6,39.2,477.12,No
Haryana,2015,111.36,3370.5,158683.2,409.85,154.98,39.2,99.2,564.83,No
Punjab,2004,198.36,1711.8,177118.3,222.48,24.17,15.5,37.3,246.65,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Madhya Pradesh,2013,189.98,3548.5,33297.6,482.91,241.78,38.6,38.8,724.69,No
Uttar Pradesh,2019,130.59,1221.9,81881.7,296.29,168.66,45.7,45.4,464.95,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Punjab,2008,67.5,1670.8,62144.4,251.33,102.88,39.2,49.5,354.21,No
Goa,2021,92.48,1738.1,39120.3,99.41,128.93,34.2,31.0,228.34,No
Manipur,2014,199.99,1819.9,184193.5,348.62,163.87,21.1,99.6,512.49,No
Haryana,2018,20.63,899.8,188946.2,276.72,120.69,32.3,9.4,397.41,Yes
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Tamil Nadu,2003,7.72,2712.2,143706.8,86.05,171.69,16.4,78.9,257.74,No
Tripura,2025,48.79,2517.5,37775.9,436.14,165.5,10.4,80.1,601.64,No
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Madhya Pradesh,2020,42.34,743.0,80347.1,392.8,283.97,41.9,21.2,676.77,Yes
Karnataka,2006,225.56,2249.0,126100.2,14.15,2.44,24.2,88.0,16.59,No
Tamil Nadu,2023,243.99,860.5,168686.2,282.01,203.24,49.5,78.3,485.25,No
Telangana,2005,166.65,3368.4,33818.4,129.4,240.18,31.9,79.2,369.58,No
Tamil Nadu,2015,15.87,1251.9,195396.7,355.02,35.2,8.4,56.1,390.22,No
Haryana,2018,20.63,899.8,188946.2,276.72,120.69,32.3,9.4,397.41,Yes
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Nagaland,2011,82.35,1739.8,191980.6,169.94,99.04,25.3,51.0,268.98,No
West Bengal,2024,70.68,1355.7,113375.1,167.57,281.72,30.5,17.4,449.29,No
Goa,2022,8.13,3932.4,105349.0,469.86,122.52,30.8,41.1,592.38,No
Uttar Pradesh,2017,223.18,3298.9,160552.9,219.39,152.13,28.9,52.7,371.52,No
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Mizoram,2003,50.66,566.9,193488.8,330.91,86.58,36.4,5.1,417.49,Yes
Meghalaya,2001,49.65,3791.4,199227.2,480.26,188.68,7.1,89.7,668.94,No
Odisha,2007,244.48,2870.9,161688.0,334.35,106.51,48.0,49.2,440.86,No
Assam,2015,159.19,1952.1,183226.3,421.2,64.77,16.3,32.0,485.97,No
Andhra Pradesh,2008,114.61,1433.3,96249.9,440.12,298.8,20.1,10.2,738.92,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Odisha,2005,128.32,1377.1,193901.2,157.27,7.24,40.8,28.0,164.51,No
Meghalaya,2019,119.24,1837.2,7730.5,33.35,156.35,32.4,75.6,189.7,No
Goa,2004,80.24,2914.9,88899.3,485.02,133.79,26.4,5.9,618.81,No
Uttar Pradesh,2011,177.55,585.0,134106.9,405.05,223.37,10.4,47.1,628.42,No
Jharkhand,2016,59.29,2019.2,142607.7,213.0,150.95,31.3,85.2,363.95,No
West Bengal,2024,70.68,1355.7,113375.1,167.57,281.72,30.5,17.4,449.29,No
Goa,2014,16.58,2830.1,126605.5,59.91,270.65,6.3,68.3,330.56,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Punjab,2025,244.31,582.1,160509.8,15.05,52.76,37.4,31.3,67.81,No
Tamil Nadu,2022,94.44,884.2,15433.3,250.3,136.68,37.3,27.3,386.98,Yes
Telangana,2003,146.3,846.6,111845.4,261.29,171.54,26.8,29.0,432.83,No
Manipur,2021,160.92,3073.5,187430.8,481.09,180.72,14.2,53.8,661.81,No
Haryana,2001,49.0,2669.7,4532.5,24.57,110.18,13.2,89.9,134.75,No
Assam,2015,111.52,1462.0,65854.5,378.05,190.48,29.7,40.6,568.53,No
Gujarat,2002,20.58,1808.1,178669.4,197.81,98.71,32.6,72.9,296.52,No
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Gujarat,2024,175.72,3403.6,103506.4,311.47,193.68,47.0,54.3,505.15,No
Meghalaya,2009,121.15,528.0,169976.0,198.5,174.89,38.9,6.4,373.39,Yes
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Assam,2011,25.84,724.6,21458.7,58.54,231.18,43.4,36.2,289.72,No
Andhra Pradesh,2012,217.94,535.3,155895.0,141.95,155.08,15.6,16.5,297.03,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Rajasthan,2022,211.3,3054.0,116897.1,29.72,168.43,49.2,96.3,198.15,No
Tamil Nadu,2016,56.27,3353.2,117896.4,225.24,130.1,1.9,33.1,355.34,No
Meghalaya,2007,53.07,1568.1,150988.1,298.28,69.91,25.9,51.7,368.19,No
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Bihar,2005,236.2,2732.2,163814.1,466.38,252.87,10.3,48.9,719.25,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Rajasthan,2023,237.52,1769.0,149024.6,466.63,82.15,31.3,65.3,548.78,No
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Andhra Pradesh,2023,215.15,3916.9,139728.2,26.42,240.36,31.6,88.2,266.78,No
Himachal Pradesh,2007,187.17,787.8,35019.5,428.37,190.33,33.8,7.8,618.7,Yes
Manipur,2024,228.29,2533.8,129920.5,424.41,59.19,48.7,81.6,483.6,No
Jharkhand,2003,5.8,2763.5,101836.7,64.38,147.11,28.5,29.7,211.49,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Punjab,2015,111.42,2664.5,12230.4,359.24,235.52,29.8,13.6,594.76,No
Assam,2006,140.47,1865.7,166421.8,247.02,107.72,42.8,35.0,354.74,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Haryana,2018,20.63,899.8,188946.2,276.72,120.69,32.3,9.4,397.41,Yes
Mizoram,2010,112.07,1738.1,99840.5,487.43,181.97,5.3,47.4,669.4,No
West Bengal,2004,195.8,3899.4,118621.1,299.47,296.24,23.6,50.6,595.71,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Haryana,2019,20.05,630.7,107968.0,415.55,56.32,49.3,10.1,471.87,Yes
Tripura,2016,242.65,2885.4,27840.0,136.37,0.72,35.2,59.4,137.09,No
Madhya Pradesh,2015,121.96,864.1,58248.8,491.0,162.41,41.9,27.1,653.41,Yes
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Meghalaya,2007,213.84,1919.1,157809.3,342.45,30.13,38.4,28.6,372.58,No
Uttar Pradesh,2006,133.75,2931.1,111409.9,329.43,60.93,10.2,77.5,390.36,No
Chhattisgarh,2010,88.29,3652.3,45169.6,294.53,182.85,35.2,54.4,477.38,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Nagaland,2001,38.17,921.3,21189.5,422.65,59.07,42.2,7.7,481.72,Yes
Bihar,2015,79.86,1472.1,38699.5,365.55,161.03,6.9,34.8,526.58,No
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Meghalaya,2006,22.02,2007.0,98773.4,250.65,298.77,22.8,87.5,549.42,No
Mizoram,2000,113.78,699.2,43887.0,227.04,204.25,23.9,12.8,431.29,No
Haryana,2025,55.14,816.5,110653.3,486.33,146.38,40.8,12.0,632.71,Yes
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Nagaland,2001,38.17,921.3,21189.5,422.65,59.07,42.2,7.7,481.72,Yes
Tripura,2004,106.6,658.6,21424.6,385.78,243.76,17.8,58.3,629.54,No
Arunachal Pradesh,2012,177.99,3760.0,162462.6,19.58,129.88,28.6,72.0,149.46,No
Tamil Nadu,2005,94.79,885.6,123723.1,113.86,204.93,24.6,29.4,318.79,No
Kerala,2000,216.48,883.0,126045.4,49.26,296.31,43.3,26.1,345.57,Yes
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Bihar,2020,23.87,1596.2,31267.5,253.06,214.59,19.9,87.8,467.65,No
Nagaland,2019,79.87,3979.6,10584.4,81.84,133.33,14.3,77.2,215.17,No
Madhya Pradesh,2009,21.13,3051.6,114314.3,25.45,228.05,10.9,45.2,253.5,No
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Karnataka,2004,186.25,893.1,91610.2,130.49,212.97,33.6,25.1,343.46,Yes
Goa,2003,193.61,2262.6,124728.0,365.04,50.64,14.5,70.7,415.68,No
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Nagaland,2005,209.49,3632.7,160346.7,459.01,90.31,26.6,89.8,549.32,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
West Bengal,2001,184.32,2011.2,114248.3,388.87,188.55,18.4,36.0,577.42,No
Andhra Pradesh,2005,54.17,3170.1,51791.1,9.15,254.64,46.9,98.7,263.79,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Kerala,2017,183.02,620.7,178552.4,199.32,110.33,24.9,27.7,309.65,No
Uttar Pradesh,2010,194.68,3196.4,108972.3,10.89,119.01,31.4,49.5,129.9,No
Assam,2005,2.63,956.0,159026.3,406.64,294.11,39.6,11.3,700.75,Yes
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Kerala,2005,90.01,2406.1,37662.3,94.28,12.7,17.6,92.4,106.98,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Punjab,2015,106.93,1838.7,195665.1,269.91,131.17,13.6,94.6,401.08,No
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Jharkhand,2022,70.47,3854.4,38234.0,352.93,217.6,12.0,6.7,570.53,No
Mizoram,2020,171.89,2403.6,45825.6,191.99,64.87,41.3,92.3,256.86,No
Punjab,2006,58.36,1984.3,199051.0,261.3,236.16,29.3,26.3,497.46,No
Kerala,2012,46.7,1369.1,23676.6,389.41,57.94,38.1,5.4,447.35,No
Punjab,2006,222.09,522.1,76094.1,219.51,97.37,45.3,26.7,316.88,Yes
Telangana,2011,60.6,3189.3,149395.1,119.63,144.34,9.1,33.5,263.97,No
Goa,2017,108.28,1597.4,175819.2,52.28,274.48,33.9,97.9,326.76,No
Nagaland,2016,221.08,2439.7,72929.3,256.5,247.82,19.6,38.2,504.32,No
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
